Network|Station|Latitude|Longitude|Elevation|Sitename|StartTime|EndTime
NP|AMJG|61.619133|-149.321426|135.0|Sams Drive, Wasilla, AK|2011-08-03T00:00:00|2599-12-31T23:59:59
NP|AWCH|61.582191|-149.444519|103.0|Wasilla City Hall, Wasilla, AK|2017-04-28T19:55:00|2599-12-31T23:59:59
NP|AZEM|61.118404|-149.801849|125.0|Trapline Dr, Anchorage, AK|2010-09-01T00:00:00|2599-12-31T23:59:59
NP|NIKO|59.811321|-151.612701|243.0|Nikolaevsk School, Nikolaevsk, AK|2016-08-16T17:00:00|2599-12-31T23:59:59
TA|L19K|62.1816|-154.8543|650.0|White Mountain, AK, USA|2015-06-20T00:00:00|2019-10-03T23:59:59
TA|N20K|61.2001|-152.2089|991.0|Mount Spurr, AK, USA|2015-08-14T00:00:00|2020-04-25T23:59:59
TA|O19K|60.1952|-154.3201|96.0|Port Alsworth, AK, USA|2015-06-09T00:00:00|2019-11-12T23:59:59
TA|P18K|59.3922|-155.2292|680.0|Big Mountain, AK, USA|2015-06-15T00:00:00|2020-04-25T23:59:59
TA|P19K|59.6524|-153.2319|629.0|Oil Pt, AK, USA|2015-06-24T00:00:00|2020-04-25T23:59:59
TA|Q16K|58.6774|-156.6556|22.0|King Salmon, AK, USA|2016-06-09T00:00:00|2020-09-20T23:59:59
TA|Q23K|59.4296|-146.3399|46.0|Middleton Island, AK, USA|2014-08-16T00:00:00|2019-09-23T23:59:59
TA|R17L|57.6313|-156.3599|524.0|Mt. Peulik Volcano, AVO PLK4, AK, USA|2018-06-23T00:00:00|2020-04-25T23:59:59
TA|R18K|57.5665|-154.4524|39.0|Karluk, AK, USA|2017-04-26T00:00:00|2019-10-18T23:59:59
TA|S12K|55.703|-162.061|411.0|Black Hills, AK, USA|2016-06-11T00:00:00|2020-09-15T23:59:59
TA|S15K|56.3058|-158.54|17.0|Chignik Lagoon, AK, USA|2018-07-12T00:00:00|2020-02-12T23:59:59
TA|S19K|57.2225|-153.2875|47.0|Old Harbor, AK, USA|2018-05-24T00:00:00|2020-02-17T23:59:59
US|EGAK|64.7774|-141.1581|296.6|Eagle, Central Alaska, Alaska, USA|2006-08-18T00:00:00|2599-12-31T23:59:59
XI|APEX1|64.696607|-148.323667|134.3|BS Forest 1|2018-06-05T20:38:23|2019-06-27T21:17:00
XI|APEX2|64.696488|-148.323168|133.1|BS Forest 2|2018-04-04T22:57:55|2019-06-27T17:37:00
XI|APEX4|64.695948|-148.322557|130.6|Transitional - Emergent Bog 1|2018-04-07T20:15:10|2019-06-25T19:34:00
XI|APEX8|64.695796|-148.321285|132.4|Intermediate Bog - West Edge|2018-04-06T23:29:23|2019-06-26T23:10:00
XI|APEX9|64.695908|-148.32089|131.3|Intermediate Bog - East Edge|2018-10-12T12:00:00|2019-06-26T20:48:00
XO|EP14|59.3257|-155.9036|56.0|Igiugig, AK|2018-06-06T00:00:00|2019-12-31T23:59:59
XO|EP15|58.9664|-155.0867|249.0|Kulic Lake, AK|2018-06-10T00:00:00|2019-12-31T23:59:59
XO|EP16|59.1126|-156.8567|43.0|Levelock, AK|2018-06-05T00:00:00|2019-12-31T23:59:59
XO|EP21|58.212|-157.3769|46.0|Egegik, AK|2018-06-04T00:00:00|2019-12-31T23:59:59
XO|EP22|57.9007|-155.7865|63.0|Shoemaker Lodge, AK|2018-06-04T00:00:00|2019-12-31T23:59:59
XO|EP23|56.9071|-157.0201|39.0|Yantarni, AK|2018-06-02T00:00:00|2019-12-31T23:59:59
XO|ET17|58.6097|-156.265|51.0|Naknek Lake, AK|2018-06-08T00:00:00|2019-12-31T23:59:59
XO|ET18|58.5458|-155.788|60.0|Brooks Camp, AK|2018-06-10T00:00:00|2019-12-31T23:59:59
XO|ET19|58.3686|-155.4394|322.0|Valley10K Smokes, AK|2018-06-09T00:00:00|2019-12-31T23:59:59
XO|ET20|58.1304|-154.9716|965.5|Barrier Range, AK|2018-06-08T00:00:00|2019-12-31T23:59:59
XO|KD01|57.6401|-152.4375|79.0|Kalsin Bay|2018-05-23T00:00:00|2019-12-31T23:59:59
XO|KD02|57.8618|-152.6575|57.0|Anton Larsen Bay, AK|2018-05-18T00:00:00|2019-12-31T23:59:59
XO|KD04|57.3042|-152.8497|34.0|Santa Flavia Bay, AK|2018-05-26T00:00:00|2019-12-31T23:59:59
XO|KD05|57.8717|-153.4099|38.0|Uganik, AK|2018-05-23T00:00:00|2019-12-31T23:59:59
XO|KD12|57.313|-154.6122|90.0|Anvil Lake, AK|2018-05-20T00:00:00|2019-12-31T23:59:59
XO|KS03|57.6133|-152.2353|45.0|Chiniak School, AK|2018-05-24T00:00:00|2019-12-31T23:59:59
XO|KS11|57.1277|-153.0879|39.0|McDonald Lagoon, AK|2018-05-19T00:00:00|2019-12-31T23:59:59
XO|KS13|56.9472|-154.1729|45.0|Akhiok School, AK|2018-05-22T00:00:00|2019-12-31T23:59:59
